Chapter,Page(s),Type,Name,Description (EN),How-to/Instructions (EN),Description (RU),How-to/Instructions (RU)
1,21,Framework,Character of the Space,The physical and/or environmental conditions established by improvisers through physical choices at the beginning of a scene.,"Establish the character of the space through physical actions like shivering (cold), fanning yourself (hot), hunching over (inside a cave), or engaging in activities like picking apples from a tree or shooting. Your scene partner should acknowledge and match or complement these physical choices to establish agreement.","Физические и/или экологические условия, установленные импровизаторами через физические выборы в начале сцены.","Установи характер пространства через физические действия, такие как дрожание (холод), обмахивание себя (жара), сутулость (внутри пещеры) или занятие деятельностью, такой как сбор яблок с дерева или стрельба. Твой партнёр по сцене должен отметить и повторить или дополнить эти физические выборы, установив согласие."
1,24,Framework,"Who, What, Where","The three essential elements needed to determine the foundation or base reality of a scene: Who your characters are, What your characters are doing, and Where your characters are.","Before getting to the game of the scene, establish clear agreement with your scene partner about these three elements. Use statements (not questions) to efficiently establish them at the start. Be clear, specific, and personal in your choices. Establish these elements as quickly as possible - ideally by the first three lines - so you can discover the first unusual thing that breaks from this base reality.","Три существенных элемента, необходимых для определения фундамента или базовой реальности сцены: Кто твои персонажи, Что твои персонажи делают и Где находятся твои персонажи.","Перед тем как перейти к игре сцены, установи ясное согласие с твоим партнёром по сцене об этих трёх элементах. Используй утверждения (не вопросы) для эффективного их установления в начале. Будь ясным, конкретным и личным в своих выборах. Установи эти элементы как можно быстрее - в идеале в первых трёх репликах - чтобы ты смог обнаружить первое необычное событие, которое нарушит эту базовую реальность."
1,24,Framework,First Unusual Thing,The first break from the established base reality of the scene; the moment when something unexpected happens that marks the beginning of the game and comedy of the scene.,"Once you and your scene partner have clearly established the Who, What, and Where, look for the first thing that breaks from this normal reality. This unusual element is what creates the game and comedy of the scene. You can only recognize it if you have a solid base reality to compare it against.","Первый разрыв с установленной базовой реальностью сцены; момент, когда происходит что-то неожиданное, что отмечает начало игры и комедии сцены.","Как только ты и твой партнёр по сцене ясно установили Кто, Что и Где, ищи первое событие, которое нарушит эту нормальную реальность. Это необычное событие создаёт игру и комедию сцены. Ты можешь распознать его только если у тебя есть твёрдый фундамент базовой реальности для сравнения."
1,26,Framework,"Show, Don't Tell",The principle of establishing scene information through physical action and demonstration rather than through verbal exposition.,"Instead of saying 'I'm unloading the dishwasher,' simply start unloading it. Instead of saying 'I'm a doctor and we are in an operating room, let's get started with this surgery,' show yourself engaged in the environment by washing up or putting on surgical gloves. This makes the scene work more visually engaging and natural.","Принцип установления информации о сцене через физическое действие и демонстрацию, а не через вербальный экспозицию.","Вместо того чтобы сказать 'Я разгружаю посудомойку', просто начни её разгружать. Вместо того чтобы сказать 'Я врач и мы находимся в операционной, давай начнём эту операцию', покажи себя, занятого в окружении, моя руки или надевая медицинские перчатки. Это делает сцену более визуально привлекательной и естественной."
1,29,Framework,Object Work,The practice of miming objects that would exist in a given scene's reality. Improvisers mime those objects since no actual props are typically available on stage in Long Form improv.,"Physically touch and use objects in your scene's environment by miming them. When miming, remember your hand isn't becoming the object - it's holding the object. Give objects mass and weight. Be consistent: mime all objects you use on stage, including keys, phones, wallets, clothing, and shoes. Don't mix real and mimed objects as this creates jarring inconsistency.","Практика изображения предметов, которые существовали бы в реальности сцены. Импровизаторы изображают эти предметы, так как на сцене обычно нет реальных предметов реквизита в лонгформе импровизации.","Физически касайся и используй предметы в окружении своей сцены, изображая их. Когда ты изображаешь что-то, помни, что твоя рука не становится предметом - она держит предмет. Дай предметам массу и вес. Будь последователен: изображай все предметы, которые ты используешь на сцене, включая ключи, телефоны, кошельки, одежду и обувь. Не смешивай реальные и изображаемые предметы, так как это создаёт странное несоответствие."
1,31,Framework,Realistic Object Miming,The technique of making mimed objects as real and believable as possible through proper physical execution.,"When miming a gun, don't just extend your index finger like a play gun - actually pretend to hold a gun in your hand with mass and weight. For phones, don't just hold out your thumb and pinky - pretend to hold an actual phone. Ask yourself: What kind is it? How big? Does it flip open? Does it have a touch screen? Apply this realistic approach to all object work. Don't use exaggerated, cartoonish movements.",Техника создания изображаемых предметов максимально реальными и убедительными через правильное физическое исполнение.,"Когда ты изображаешь пистолет, не просто вытягивай указательный палец как в детской игре - действительно притворись, что держишь пистолет в руке с массой и весом. Для телефонов не просто держи большой палец и мизинец - притворись, что держишь настоящий телефон. Задай себе вопросы: Какого типа? Какого размера? Откидывается ли он? Есть ли сенсорный экран? Применяй этот реалистичный подход ко всему объектному действию. Не используй преувеличенные, мультипликационные движения."
1,32,Framework,Object Work as Thinking Time,"The use of object work to provide cover while you think about what to do next in a scene, allowing the audience to see continued character action rather than an improviser thinking.","When you need time to process what's happening in the scene or decide on your next move, engage in object work related to your character's activity. For example, if you're a mechanic and need to think, open the hood and look at the engine, check tire pressure, or work on an exposed engine block. The audience will see a character naturally pausing in conversation while continuing their activity, not an improviser at a loss for words.","Использование объектного действия для получения времени на размышление о том, что делать дальше в сцене, позволяя зрителям видеть продолжение действия персонажа вместо импровизатора, который думает.","Когда тебе нужно время, чтобы обработать происходящее в сцене или решить, что делать дальше, занимайся объектным действием, связанным с деятельностью твоего персонажа. Например, если ты механик и тебе нужно подумать, откройте капот и посмотри на двигатель, проверь давление в шинах или работай над открытым блоком двигателя. Зрители увидят персонажа, который естественным образом делает паузу в разговоре, продолжая свою деятельность, а не импровизатора, который не знает, что сказать."
1,33,Framework,Maintain Environment,The principle of keeping the established physical environment and spatial relationships consistent throughout a scene.,"Don't 'drop' your environment once you begin talking. If you establish you're in a kitchen, continue to honor that space. Keep your characters grounded in the world established at the start of the scene. You can later use this environment as a vehicle to explore the comedy of your scene.",Принцип сохранения установленного физического окружения и пространственных отношений на протяжении всей сцены.,"Не 'забывай' про своё окружение, как только ты начинаешь говорить. Если ты установил, что находишься на кухне, продолжай уважать это пространство. Держи своих персонажей привязанными к миру, установленному в начале сцены. Ты можешь позже использовать это окружение как средство для исследования комедии сцены."
1,34,Framework,Talk About Something Else,"The principle of doing one activity while talking about something unrelated to that activity, mirroring real life behavior.","While engaged in a physical activity (like folding laundry), talk about something other than what you're doing. In real life, you are usually doing one thing and talking about another. For example, if you're folding laundry, you're most likely not talking about folding laundry. Apply this to your scenes to make them more realistic.","Принцип занятия одной деятельностью при обсуждении чего-то не связанного с этой деятельностью, отражая поведение в реальной жизни.","Пока ты занят физической деятельностью (например, складыванием белья), говори о чём-то другом, чем то, что ты делаешь. В реальной жизни ты обычно делаешь одно, а говоришь о другом. Например, если ты складываешь бельё, ты скорее всего не говоришь о складывании белья. Применяй это к своим сценам, чтобы они были более реалистичными."
1,19,Exercise,EXERCISE: FIND YES AND IN A REAL CONVERSATION,A practice exercise to recognize how Yes And naturally occurs in real conversations outside of improv.,"Try to look for conversations in which one speaker changes topics without segue, doesn't listen, or only talks about themselves. These will be conversations in which one speaker fails to Yes And the other. Notice these people aren't Yes Anding each other. Alternatively, watch good conversations and identify the moments when people are Yes Anding without being conscious of doing so.","Упражнение на практику для узнавания того, как 'Да, и' естественно возникает в реальных разговорах вне импровизации.","Постарайся найти разговоры, в которых один говорящий меняет тему без переходов, не слушает или говорит только о себе. Это будут разговоры, в которых один говорящий не использует 'Да, и' по отношению к другому. Заметь, что эти люди не используют 'Да, и' друг с другом. Или смотри хорошие разговоры и определи моменты, когда люди используют 'Да, и', не осознавая этого."
1,24,Exercise,EXERCISE: CHARACTER OF THE SPACE,A practice exercise for establishing and recognizing the physical/emotional character of a scene through physical choices.,"Two improvisers take the stage. One improviser starts by making a physical choice that establishes the character of the space (example: stepping over and miming tying a balloon to your wrist, or stepping into a mirror to see down the row of bells). The other improviser should immediately join in with a complementary physical choice that shows agreement with the established character of the space.",Упражнение на практику для установления и узнавания физического/эмоционального характера сцены через физические выборы.,"Двое импровизаторов выходят на сцену. Один импровизатор начинает с физического выбора, который установит характер пространства (пример: переступая и изображая завязывание воздушного шара на запястье, или заглядывая в зеркало, чтобы увидеть ряд колоколов). Другой импровизатор должен немедленно присоединиться с дополняющим физическим выбором, который показывает согласие с установленным характером пространства."
1,20,Exercise,EXERCISE: THREE LINE SCENES,"A practice exercise for quickly and efficiently establishing the Who, What, and Where of a scene.","Two improvisers perform short scenes that last only three lines of dialogue. This forces performers to establish the Who, What, and Where as quickly and clearly as possible without wasting time or adding unnecessary information.","Упражнение на практику для быстрого и эффективного установления Кто, Что и Где сцены.","Два импровизатора исполняют короткие сцены, которые длятся всего три реплики диалога. Это заставляет исполнителей установить Кто, Что и Где как можно быстрее и ясно, без траты времени или добавления ненужной информации."
1,20,Exercise,EXERCISE: FOLD LAUNDRY WHILE TALKING,A practice exercise for doing one activity while talking about something unrelated.,"Start folding laundry (or performing another continuous physical activity). When you begin speaking, talk about something other than what you are doing. This helps you learn to mirror real life behavior where people typically do one thing while discussing something unrelated.",Упражнение на практику для занятия одной деятельностью при разговоре о чём-то не связанном с этим.,"Начни складывать бельё (или выполнять другую непрерывную физическую деятельность). Когда ты начнёшь говорить, говори о чём-то другом, чем то, что ты делаешь. Это помогает тебе научиться отражать поведение в реальной жизни, где люди обычно делают одно, а обсуждают что-то другое."
